Date,Adj Close,Close,High,Low,Open,Volume
6/21/2018,245.4964447,274.2399902,275.980011,273.6799927,275.9599915,71061400
6/22/2018,245.9440765,274.7399902,275.7900085,274.4899902,275.6600037,54898500
6/25/2018,242.5960846,271,273.6199951,269.1000061,273.4400024,137854200
6/26/2018,243.1331635,271.6000061,272.5599976,270.7900085,271.6400146,68547400
6/27/2018,241.1189423,269.3500061,273.8699951,269.1799927,272.2600098,105110700
6/28/2018,242.4975586,270.8900146,271.75,268.4899902,269.2900085,76650500
6/29/2018,242.8466644,271.2799988,273.6600037,271.1499939,272.1199951,97592500
7/2/2018,243.3659058,271.8599854,272.0400085,269.2399902,269.5100098,63554800
7/3/2018,242.5065002,270.8999939,272.980011,270.4200134,272.8699951,42187100
7/5/2018,244.4848785,273.1099854,273.1799927,270.9599915,272.1700134,56925900
7/6/2018,246.5527649,275.4200134,275.8399963,272.7099915,273.1400146,66493700
7/9/2018,248.7727966,277.8999939,277.9599915,276.5,276.5499878,50550400
7/10/2018,249.6680603,278.8999939,279.0100098,278.0799866,278.4100037,51966800
7/11/2018,247.8418274,276.8599854,278.0400085,276.519989,277.1499939,77054700
7/12/2018,250.0888062,279.3699951,279.4299927,277.6000061,278.2799988,60124700
7/13/2018,250.2857056,279.5899963,279.9299927,278.6600037,279.1700134,48216000
7/16/2018,250.0618591,279.3399963,279.7999878,278.8399963,279.6400146,48201000
7/17/2018,251.0734558,280.4700012,280.9100037,278.4100037,278.4700012,52315500
7/18/2018,251.6015778,281.0599976,281.1799927,280.0599976,280.5599976,44593500
7/19/2018,250.6526642,280,280.7399902,279.4599915,280.3099976,61412100
7/20/2018,250.3663177,279.6799927,280.480011,279.5,279.769989,82337700
7/23/2018,250.8318329,280.2000122,280.4299927,279.0599976,279.4500122,47047600
7/24/2018,252.0939331,281.6099854,282.5599976,280.6300049,281.7900085,68026900
7/25/2018,254.2424622,284.0100098,284.3699951,281.2799988,281.3299866,78882900
7/26/2018,253.6426849,283.3399963,284.1099854,283.0899963,283.2000122,57919500
7/27/2018,251.9239197,281.4200134,283.8200073,280.3800049,283.7099915,76768700
7/30/2018,250.6079865,279.9500122,281.6900024,279.3599854,281.5100098,63742500
7/31/2018,251.8432922,281.3299866,282.019989,280.3800049,280.8099976,68570500
8/1/2018,251.4226074,280.8599854,282.1300049,280.1300049,281.5599976,53853300
8/2/2018,252.7922516,282.3900146,282.5799866,279.1600037,279.3900146,63426400
8/3/2018,253.8754272,283.6000061,283.6600037,282.3299866,282.5299988,53935400
8/6/2018,254.8064117,284.6400146,284.9899902,283.2000122,283.6400146,39400900
8/7/2018,255.6478424,285.5799866,286.0100098,285.2399902,285.3900146,43196600
8/8/2018,255.5404816,285.4599915,285.9100037,284.9400024,285.3900146,42114600
